geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Makroregion Poludniowy,:,,:,,:,,:,,:,,12,,10.9,,9.2,,8.5,,5.9,,5.9,,:,
Region Wschodni (NUTS 2013),:,,:,,:,,:,,:,,15.4,,14.1,,11.9,,9.6,,9,,7.2,,:,
Makroregion Pólnocno-Zachodni,:,,:,,:,,:,,:,,13.6,,10.8,,9.4,,7.9,,8.2,,7,,:,
Makroregion Poludniowo-Zachodni,:,,:,,:,,:,,:,,17.3,,14.8,,12.6,,9.2,,7.3,,5.2,,:,
Makroregion Pólnocny,:,,:,,:,,:,,:,,12.7,,11.6,,10.5,,7.8,,5.2,,5.9,,:,
Portugal,9.6,,9.7,,9.1,,9,,8.3,,8.6,,10.9,,10.6,,9.6,,8.4,,6.9,,:,
Romania,38,,32.7,,32.1,,30.5,,29.5,,31.1,,29.8,,25.9,,22.7,,23.8,,19.7,,:,
Macroregiunea unu,30.1,,26.1,,22.8,,20.8,,21.7,,23.1,,24.4,,21.4,,19.1,,17.9,,12.5,,:,
Nord-Vest,30.4,,25,,24.3,,21.8,,24.2,,22.7,,21.9,,18,,16.5,,17.6,,11.9,,:,
Centru,29.7,,27.3,,21.2,,19.7,,18.9,,23.5,,27.2,,25,,21.9,,18.3,,13.2,,:,
Macroregiunea doi,43.7,,37.8,,37.2,,39.5,,37.1,,37.2,,36.4,,32.1,,28.9,,26.4,,23.9,,:,
Nord-Est,43.5,,40.5,,41.9,,40.3,,38.6,,37.5,,34.5,,30.4,,26.7,,23.8,,22.4,,:,
Sud-Est,43.9,,34.3,,31.1,,38.4,,35.2,,36.8,,38.7,,34.4,,32,,29.9,,25.8,,:,
Macroregiunea trei,39.9,,34.2,,36.8,,31.3,,30.7,,32.8,,28.9,,24.7,,21.6,,26.6,,22.9,,:,
Sud - Muntenia,43.6,,36.5,,36.9,,32.2,,33.2,,35.9,,30,,28.4,,26.8,,27.5,,25.8,,:,
Bucuresti - Ilfov,34.6,,30.8,,36.7,,30.2,,27.4,,28.6,,27.3,,19.8,,13.7,,25.4,,19.1,,:,
Macroregiunea patru,36.7,,31.6,,29.9,,28,,26.4,,29.7,,27.9,,24.1,,18.9,,23.3,,18.1,,:,
Sud-Vest Oltenia,46.7,,39.2,,38.1,,32.7,,31.7,,32.6,,27.1,,25.3,,20.8,,24.4,,22,,:,
Vest,25.2,,22.8,,20.6,,22.8,,20.4,,26.4,,28.8,,22.7,,16.4,,22,,13.8,,:,
Slovenia,5.1,,6.7,,6.1,,5.9,,6.1,,6.6,,6.7,,6.6,,5.8,,5.4,,4.6,,:,
Vzhodna Slovenija (NUTS 2010),:,,8.2,,7.4,,7.4,,7.3,,7.7,,7.5,,7.6,,6.8,,6.1,,6,,:,
Zahodna Slovenija (NUTS 2010),:,,5,,4.6,,4.3,,4.9,,5.5,,5.8,,5.5,,4.5,,4.5,,2.8,,:,
Slovakia,13.7,,11.8,,11.1,,11.4,,10.6,,10.5,,10.2,,9.9,,9,,8.2,,7,,:,
Bratislavský kraj,9.2,,6.5,,7.1,,9.3,,11.8,,12,,12.1,,10,,8.3,,7.9,,4.3,,:,
Západné Slovensko,10.7,,9,,10.3,,9.8,,8.6,,8.3,,8.5,,6.8,,7.1,,6.2,,5.2,,:,
Stredné Slovensko,13.5,,11.5,,11.1,,10.6,,10.7,,10.8,,9.5,,10.2,,9.3,,9.1,,8.2,,:,
Východné Slovensko,19.2,,17.3,,13.5,,15,,12.3,,12.1,,12.2,,13,,11.2,,9.9,,9.2,,:,
Finland,3.6,,3.5,,2.8,,2.8,,3.2,,2.9,,2.5,,2.8,,2.2,,2.2,,2.1,,2.8,
Manner-Suomi,3.6,,3.5,,2.8,,2.8,,3.2,,2.9,,2.5,,2.8,,2.2,,2.2,,2.1,,2.9,
Itä-Suomi (NUTS 2006),4.6,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Etelä-Suomi (NUTS 2006),3.7,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
"Länsi-Suomi, Åland",3.1,,3.5,,2.8,,2.2,,3.1,,3.6,,2.1,,3.3,,1.7,,2,,2.7,,3.5,
Pohjois-Suomi (NUTS 2006),2.8,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Helsinki-Uusimaa,:,,2.9,,2.5,,2.9,,3.8,,2.4,,2.5,,2.8,,2.5,,2.1,,2,,2.3,
Etelä-Suomi,:,,3.9,,2.8,,3.1,,3,,2.8,,2.7,,2.7,,2.4,,2.4,,2.2,,3.7,
Pohjois- ja Itä-Suomi,:,,3.8,,3.3,,3.2,,2.8,,3,,2.7,,2.4,,2.1,,2.4,,1.5,,2,
Åland,0,,4.3,,0,,1.6,,1.1,,2.6,,1.6,,1,,0.4,,1.9,,0,,0,
Sweden,2.2,,1.8,(b),2,,1.9,,1.7,,1.8,,1.9,,1,,1.1,,0.8,,1.1,,:,
Östra Sverige,:,,2,(b),1.9,,2.4,,2,,2.1,,2,,1.2,,1.1,,1,,0.9,,:,
Stockholm,:,,2,(b),2.3,,2.1,,2.1,,2.4,,1.9,,1.9,,1,,0.9,,0.7,,:,
Östra Mellansverige,:,,2.1,(b),1.4,,2.8,,1.9,,1.7,,2.1,,0.3,,1.2,,1.1,,1.2,,:,
Södra Sverige,:,,1.7,(b),2.1,,1.8,,1.7,,2,,2.3,,1,,1.3,,0.9,,1.4,,:,
Småland med öarna,:,,1.5,(b),1.8,,1.6,,0.3,,1.9,,1.3,,0.4,,2.1,,0.9,,1.9,,:,
Sydsverige,:,,2,(b),2.1,,2.1,,3,,2.1,,3.7,,1.9,,1.7,,1.1,,1.6,,:,
Västsverige,:,,1.5,(b),2.1,,1.7,,1.4,,1.9,,1.8,,0.6,,0.7,,0.7,,1,,:,
Norra Sverige,:,,1.5,(b),2.1,,1,,1.1,,0.7,,0.5,,0.4,,0.9,,0.3,,1,,:,
Norra Mellansverige,:,,1,(b),1.4,,1.3,,0.8,,0.3,,0,,0.5,,0.7,,0.6,,1.3,,:,
Mellersta Norrland,:,,2,(b),2.2,,1.3,,0.7,,0.7,,1.4,,0,,0.3,,0,,0.7,,:,
Övre Norrland,:,,1.9,(b),3.3,,0.5,,1.9,,1.3,,0.7,,0.7,,1.8,,0,,0.7,,:,
United Kingdom,4.2,,4.5,,3.3,,4.8,,5.1,,7.8,(b),8.3,,7.4,,6.1,,5.2,,4.1,(b),:,
Iceland,2.1,,0.8,(b),0.8,,1.8,,2.1,,2.4,,1.9,,1.4,,1.6,,1.9,,:,,:,
Norway,2.3,,2,,2.2,,2,,2.3,,1.7,,2,,1.2,,1.7,,2,,2.3,,:,
Oslo og Akershus,3,,2.1,,2.5,,2.8,,3.4,,1.9,,2.8,,1.5,,2.5,,2.4,,2.8,,:,
Hedmark og Oppland,2,,0.9,,0.6,,1.1,,0.9,,1.2,,0.6,,1,,0.8,,0.8,,2.3,,:,
Sør-Østlandet,2.1,,2.9,,3.1,,2.9,,2.8,,1.4,,1.9,,1.5,,1.5,,1.8,,1.5,,:,
Agder og Rogaland,1.8,,1.8,,2.1,,1.8,,2,,1.8,,2,,1.2,,1.1,,2.3,,3,,:,
Vestlandet,2.7,,1.7,,1.6,,0.7,,1.9,,1.7,,1.3,,1.2,,1.4,,2.7,,1.9,,:,
Trøndelag,1.3,,1.9,,2.7,,1.8,,1.6,,2.4,,1.9,,0.9,,2.9,,1.1,,2.4,,:,
Nord-Norge,2.5,,1.3,,2.1,,2.3,,1.6,,1.6,,2.2,,0.7,,1.7,,1.3,,1.8,,:,
Switzerland,2.3,,2.1,,2.1,,1.7,,1,,0.8,,0.7,,1.3,(b),1.4,,1.5,,:,,:,
Région lémanique,:,,3,,2.2,,3,,2.7,,1,,1,,1.8,(b),1.9,,1.9,,:,,:,
Espace Mittelland,:,,1.9,,1.8,,1.3,,1,,0.8,,0.5,,1.5,(b),1.1,,1.1,,:,,:,
Nordwestschweiz,:,,2.9,,2.7,,2.6,,0.7,,1.2,,0.4,,1.4,(b),1.7,,2.7,,:,,:,
Zürich,:,,1.8,,1.8,,1,,0.3,,0.4,,0.8,,1.1,(b),1.9,,1.8,,:,,:,
Ostschweiz,:,,0.8,,1.8,,1,,0.9,,0.7,,0.2,,0.9,(b),0.4,,0.8,,:,,:,
Zentralschweiz,:,,1.1,,1,,1.1,,0.2,,0.2,,0.4,,0.3,(b),1.5,,0.4,,:,,:,
Ticino,:,,4,,5.2,,1.5,,0.2,,2.1,,2.3,,1.8,(b),1.1,,1.1,,:,,:,
North Macedonia,:,,:,,:,,:,,:,,40.9,,37.7,,35.7,,30.4,,30,,31.1,,:,
Serbia,:,,:,,:,,:,,:,,:,,26.9,,26.3,,24,,19.5,,17.4,,:,
Srbija - sever,:,,:,,:,,:,,:,,:,,:,,24,,22.7,,17.1,,17.7,,:,
Srbija - jug,:,,:,,:,,:,,:,,:,,:,,28.6,,25.4,,22,,17.2,,:,
Turkey,58.8,,57.7,,56.7,,59.3,,57.9,,55,,43.8,(b),29.3,,30.3,,32.9,,28.7,,:,
:=not available b=break in time series p=provisional e=estimated ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,07.05.2019,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,17 May 2019 16:42:35 CEST,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tgs00104,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,https://ec.europa.eu/info/legal-notice_en,,,,,,,,,,,,,,,,,,,,,,,
