geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Bretagne,6.7,,5.2,,5.6,,6.8,,7.1,,8,,8,,7.4,,7.8,,8.6,,7.3,,6.7,
Aquitaine,6.9,,7.1,,8.3,,8.1,,9,,9.4,,8.9,,9.1,,9.8,,10.1,,10.2,,9.3,
Limousin,6.7,,5.4,,6.2,,7,,7.5,,6.7,,6.9,,9.3,,8.9,,7.1,,6.2,,6.9,
Poitou-Charentes,6.5,,7,,8.4,,7.7,,8.1,,8.3,,9.9,,10.9,,9.7,,9,,9,,8.6,
Languedoc-Roussillon,10.1,,9.4,,13.3,,13.7,,11.9,,15,,12.9,,12.3,,12.9,,12,,12.2,,11.7,
Midi-Pyrénées,7.9,,6.1,,8.7,,7.8,,8.1,,8.3,,8.6,,9.1,,8.5,,8.6,,7.2,,7.6,
Auvergne,8.3,,6.4,,7.4,,7,,8.4,,10,,8.9,,7.3,,8.6,,7.2,,8.3,,7.8,
Rhône-Alpes,6.3,,6.3,,8.4,,8.1,,7.7,,8,,8.4,,8.8,,9.1,,8,,7.2,,7.3,
Provence-Alpes-Côte d'Azur,9,,7.8,,9.2,,9.7,,9.7,,9.6,,10.9,,10,,11,,10.6,,10.2,,9.3,
Corse,11.1,(u),7.9,(u),:,(u),6,(u),:,(u),7.9,(u),12.3,(u),9.8,(u),8.5,(u),8.6,(u),7.8,(u),5.6,(u)
Guadeloupe,22.6,,21.9,,23.4,,23.8,,22.6,,23,,26.2,,23.9,,23.7,,23.8,,22.4,,23.1,
Martinique,21.1,,22.3,,21.8,,21,,20.8,,21,,22.8,,19.4,,18.6,,17.6,,17.8,,17.7,
Guyane,20.1,,21.4,,20.2,,21,,21,,22.3,,21.3,,22.2,,21.9,,23.2,,22.4,,19.1,
La Réunion,24.1,,24.4,,27.1,,28.9,,29.6,,28.6,,28.9,,26.4,,24.1,,22.4,,22.8,,24.3,
Mayotte,:,,:,,:,,:,,:,,:,,19.4,,20.3,,25.3,,29.7,,29.6,,35.1,
Jadranska Hrvatska,9.2,,8.7,,9.6,,11.1,,13.3,,14.8,,15,,17.2,,16.8,,14.2,,10.9,,9.4,
Kontinentalna Hrvatska,10.3,,8.5,,9,,11.9,,13.9,,16.5,,18.3,,17.3,,15.9,,12.6,,11.4,,8,
Piemonte,4.2,,5.1,,6.8,,7.5,,7.6,,9.2,,10.5,,11.3,,10.2,,9.3,,9.1,,8.2,
