geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Malopolskie,:,,:,,:,,:,,:,,:,,:,,:,,16600,,18000,,18100,,19100,(p)
Slaskie,:,,:,,:,,:,,:,,:,,:,,:,,19400,,20700,,20700,,21600,(p)
Wielkopolskie,:,,:,,:,,:,,:,,:,,:,,:,,20000,,21600,,21800,,22800,(p)
Zachodniopomorskie,:,,:,,:,,:,,:,,:,,:,,:,,15600,,16900,,16700,,17400,(p)
Lubuskie,:,,:,,:,,:,,:,,:,,:,,:,,15700,,16600,,16700,,17300,(p)
Dolnoslaskie,:,,:,,:,,:,,:,,:,,:,,:,,20900,,22200,,22100,,23100,(p)
Opolskie,:,,:,,:,,:,,:,,:,,:,,:,,15100,,16100,,15900,,16600,(p)
Kujawsko-Pomorskie,:,,:,,:,,:,,:,,:,,:,,:,,15200,,16300,,16300,,16900,(p)
Warminsko-Mazurskie,:,,:,,:,,:,,:,,:,,:,,:,,13300,,14100,,14200,,14700,(p)
Pomorskie,:,,:,,:,,:,,:,,:,,:,,:,,17800,,19200,,19300,,20200,(p)
Lódzkie,:,,:,,:,,:,,:,,:,,:,,:,,17500,,18600,,18600,,19500,(p)
Swietokrzyskie,:,,:,,:,,:,,:,,:,,:,,:,,13600,,14400,,14300,,14900,(p)
Lubelskie,:,,:,,:,,:,,:,,:,,:,,:,,13000,,13700,,13700,,14400,(p)
Podkarpackie,:,,:,,:,,:,,:,,:,,:,,:,,13200,,14100,,14000,,14600,(p)
Podlaskie,:,,:,,:,,:,,:,,:,,:,,:,,13500,,14200,,14100,,15000,(p)
Warszawski stoleczny,:,,:,,:,,:,,:,,:,,:,,:,,41300,,43600,,43500,,45700,(p)
Mazowiecki regionalny,:,,:,,:,,:,,:,,:,,:,,:,,15700,,17000,,17000,,17800,(p)
Norte,16100,,16800,,16900,,16100,,16900,,16400,,16500,,17000,,17800,,18800,,19200,,19500,
Algarve,21700,,22600,,22300,,20400,,20600,,19800,,20000,,20400,,21600,,23000,,24100,,24900,
