Région lémanique,9365,,10738,,11322,,11176,,11752,,13010,,13790,,14330,,15059,,15688,,16448,,17269
Espace Mittelland,78,,89,,92,,95,,86,,169,,258,,245,,178,,175,,167,,168
Nordwestschweiz,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Zürich,17878,,20717,,22074,,21911,,22849,,24311,,24788,,24853,,25451,,26249,,27627,,29356
Ostschweiz,95,,99,,91,,73,,68,,95,,116,,86,,84,,92,,99,,110
Zentralschweiz,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Ticino,181,,187,,180,,157,,159,,165,,167,,143,,136,,156,,168,,136
Extra-Regio level 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
:=not available ,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,
Last update:,07.03.2019,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,17 May 2019 16:43:33 CEST,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tgs00077,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,https://ec.europa.eu/info/legal-notice_en,,,,,,,,,,,,,,,,,,,,,,
Code:,tgs00077,,,,,,,,,,,,,,,,,,,,,,
