geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Niederösterreich,329,,328,,328,,328,,350,,350,,350,,350,,350,,350,,350,,350,
Wien,42,,43,,43,,43,,43,,43,,43,,43,,43,,43,,43,,43,
Kärnten,243,,243,,243,,243,,243,,243,,243,,243,,243,,243,,243,,243,
Steiermark,308,,308,,308,,308,,308,,308,,308,,308,,308,,308,,308,,308,
Oberösterreich,299,,299,,299,,299,,299,,299,,299,,299,,299,,299,,299,,299,
Salzburg,144,,144,,144,,144,,144,,144,,144,,144,,144,,144,,144,,144,
Tirol,189,,189,,189,,189,,189,,189,,189,,189,,189,,189,,189,,189,
Vorarlberg,63,,63,,63,,63,,63,,63,,63,,63,,63,,63,,63,,63,
Malopolskie,60,,60,,59,,79,,80,,80,,137,,136,,151,,151,,151,,:,
Slaskie,73,,73,,83,,100,,107,,130,,169,,169,,176,,176,,176,,:,
Wielkopolskie,195,,195,,195,,195,,195,,210,,210,,211,,211,,211,,211,,:,
Zachodniopomorskie,22,,22,,22,,22,,22,,22,,22,,22,,25,,25,,25,,:,
Lubuskie,0,,0,,0,,0,,0,,89,,89,,89,,89,,89,,89,,:,
Dolnoslaskie,150,,150,,150,,199,,199,,222,,222,,222,,222,,222,,222,,:,
Opolskie,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,:,
Kujawsko-Pomorskie,0,,0,,25,,23,,23,,86,,100,,144,,165,,165,,165,,:,
Warminsko-Mazurskie,0,,0,,0,,0,,0,,0,,1,,0,,0,,:,(z),0,,:,
Pomorskie,0,,0,,66,,66,,66,,66,,66,,66,,66,,66,,66,,:,
Lódzkie,75,,75,,77,,77,,77,,77,,188,,177,,188,,188,,188,,:,
Swietokrzyskie,0,,0,,0,,0,,0,,0,,0,,0,,0,,:,(z),0,,:,
Lubelskie,0,,0,,0,,0,,0,,0,,0,,0,,0,,:,(z),0,,:,
