geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Zuid-Holland,45.4,,45.8,,46,,46.7,,48,(b),48.5,,49.4,(b),48.7,(b),50.2,,50.6,,51.6,,52.9
Zeeland,35.3,,38.4,,39.6,,40.5,,41.6,(b),38.1,,39.7,(b),41.1,(b),38.3,,40,,42.2,,42.3
Noord-Brabant,41.9,,41.5,,42.1,,42.2,,43.5,(b),44.6,,45.1,(b),45.3,(b),45.8,,46.4,,46.6,,48.4
Limburg (NL),37.5,,39.6,,39.4,,41,,41.5,(b),41.6,,41.6,(b),41.1,(b),42.7,,43.3,,44.2,,44.8
Burgenland (AT),31,(b),32.7,,31.3,,33.2,,35.8,(b),34.9,,37.4,,43.5,(b),45.3,,45.1,,47.2,,46.4
Niederösterreich,33.6,(b),34.3,,36.6,,36.9,,37.5,(b),37.9,,39.2,,46.1,(b),47.3,,47.1,,49.2,,49.5
Wien,42.2,(b),42.4,,44.4,,45,,46.5,(b),47.4,,50.5,,56.6,(b),56.1,,55.9,,56.9,,55.5
Kärnten,33.4,(b),32.3,,32.7,,31.6,,35.9,(b),36.5,,37.7,,44.2,(b),43.9,,45.5,,45.3,,47.7
Steiermark,32.9,(b),31.4,,32.7,,33,,35.4,(b),36.8,,36.2,,41.5,(b),43.1,,43.7,,44.4,,45.3
Oberösterreich,33.1,(b),33.6,,33.9,,34.8,,35.3,(b),36,,37.7,,42.4,(b),42.8,,44.6,,44.5,,46.1
Salzburg,33.9,(b),35.6,,36.7,,36.4,,36.7,(b),39.2,,39.9,,45,(b),45.3,,46.1,,46.8,,46.3
Tirol,32.3,(b),33.9,,34.2,,34,,34.9,(b),38,,37.7,,42.7,(b),43.1,,42.5,,44,,45.4
Vorarlberg,34,(b),33.8,,34.1,,33.5,,36.4,(b),39.1,,40.6,,42.8,(b),43.4,,45,,44.6,,44.4
Malopolskie,30.3,,31.3,,32.4,,32.8,(b),34.1,(b),36,,36.8,,37.9,(b),40.1,,42,(b),45.3,,46.6
Slaskie,32.6,,32.3,,35.7,,37.2,(b),38,(b),38.4,,39.8,,41.2,(b),42.3,,43.5,(b),44.9,,46.9
